País de residencia	Tipo de dato	Gastos y duración media de los viajes	Periodo	Total
Total	Dato base	Gasto total	2019	91.911,97
Total	Dato base	Gasto total	2018	89.750,75
Total	Dato base	Gasto total	2017	87.003,93
Total	Dato base	Gasto total	2016	77.415,54
Total	Dato base	Gasto medio por persona	2019	1.101
Total	Dato base	Gasto medio por persona	2018	1.084
Total	Dato base	Gasto medio por persona	2017	1.063
Total	Dato base	Gasto medio por persona	2016	1.028
Total	Dato base	Gasto medio diario por persona	2019	155
Total	Dato base	Gasto medio diario por persona	2018	146
Total	Dato base	Gasto medio diario por persona	2017	137
Total	Dato base	Gasto medio diario por persona	2016	130
Total	Dato base	Duración media de los viajes	2019	7,11
Total	Dato base	Duración media de los viajes	2018	7,45
Total	Dato base	Duración media de los viajes	2017	7,74
Total	Dato base	Duración media de los viajes	2016	7,88
Total	Tasa de variación anual	Gasto total	2019	2,41
Total	Tasa de variación anual	Gasto total	2018	3,16
Total	Tasa de variación anual	Gasto total	2017	12,39
Total	Tasa de variación anual	Gasto total	2016	9,21
Total	Tasa de variación anual	Gasto medio por persona	2019	1,55
Total	Tasa de variación anual	Gasto medio por persona	2018	1,99
Total	Tasa de variación anual	Gasto medio por persona	2017	3,39
Total	Tasa de variación anual	Gasto medio por persona	2016	-1,14
Total	Tasa de variación anual	Gasto medio diario por persona	2019	6,32
Total	Tasa de variación anual	Gasto medio diario por persona	2018	6,00
Total	Tasa de variación anual	Gasto medio diario por persona	2017	5,24
Total	Tasa de variación anual	Gasto medio diario por persona	2016	4,08
Total	Tasa de variación anual	Duración media de los viajes	2019	-4,49
Total	Tasa de variación anual	Duración media de los viajes	2018	-3,78
Total	Tasa de variación anual	Duración media de los viajes	2017	-1,76
Total	Tasa de variación anual	Duración media de los viajes	2016	-5,01
Alemania	Dato base	Gasto total	2019	11.686,59
Alemania	Dato base	Gasto total	2018	11.976,69
Alemania	Dato base	Gasto total	2017	12.233,43
Alemania	Dato base	Gasto total	2016	11.098,21
Alemania	Dato base	Gasto medio por persona	2019	1.047
Alemania	Dato base	Gasto medio por persona	2018	1.049
Alemania	Dato base	Gasto medio por persona	2017	1.028
Alemania	Dato base	Gasto medio por persona	2016	990
Alemania	Dato base	Gasto medio diario por persona	2019	138
Alemania	Dato base	Gasto medio diario por persona	2018	132
Alemania	Dato base	Gasto medio diario por persona	2017	124
Alemania	Dato base	Gasto medio diario por persona	2016	119
Alemania	Dato base	Duración media de los viajes	2019	7,58
Alemania	Dato base	Duración media de los viajes	2018	7,94
