Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2019T2;66.197
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2019T1;65.306
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2018T4;64.603
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2018T3;64.356
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2018T2;63.973
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2018T1;63.648
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2017T4;63.706
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2017T3;63.023
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2017T2;62.884
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2017T1;61.780
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2016T4;60.919
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2016T3;60.458
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2016T2;59.356
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2016T1;58.902
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2015T4;58.151
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2015T3;57.628
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2015T2;56.770
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2015T1;56.670
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2014T4;55.135
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2014T3;54.278
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2014T2;53.987
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2014T1;53.813
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2013T4;53.826
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2013T3;53.644
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2013T2;53.592
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2013T1;53.722
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2012T4;54.192
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2012T3;54.690
